config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python/grover_n11_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",27136,27136,19386,27136,1.8578928
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python/grover_n11_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",27136,27136,19386,27136,1.8092008
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python/grover_n11_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",27136,27136,19054,27136,2.0808222
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python/grover_n11_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",27136,27136,19054,27136,2.1485124
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python/grover_n13_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",72646,72646,56904,72646,4.29955
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python/grover_n13_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",72646,72646,56904,72646,4.1827106
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python/grover_n13_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",72646,72646,52983,72646,3.8358912
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python/grover_n13_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",72646,72646,52983,72646,4.290301
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python/grover_n13_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",72646,72646,51343,72646,4.4867625
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python/grover_n13_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",72646,72646,51343,72646,4.3714337
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",180497,180497,148061,180497,8.25602
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",180497,180497,148061,180497,8.01559
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",180497,180497,134365,180497,7.433845
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",180497,180497,134365,180497,7.43115
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",180497,180497,128228,180497,9.278802
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",180497,180497,128228,180497,9.423464
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",5319,5319,2422,5319,0.32311755
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",5319,5319,2422,5319,0.40686554
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",5319,5319,2394,5319,0.5906146
