config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 100, ",111956,0,73189,0,43,2.1462593,1.007541,4542
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 200, ",111956,0,65751,0,51,3.3476548,2.0727308,2484
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 400, ",111956,0,65063,0,37,4.3388896,3.4245381,986
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 800, ",111956,0,64949,0,31,7.294179,6.6400623,446
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 50, ",258725,0,186083,0,32,3.0325427,1.7409172,15227
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 100, ",258725,0,173548,0,42,3.4956055,1.7154413,9764
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 200, ",258725,0,155258,0,55,5.3222785,3.305779,5782
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 400, ",258725,0,150558,0,37,6.50455,5.1726766,2219
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 800, ",258725,0,150008,0,38,11.278897,9.995267,1094
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 50, ",585234,0,422311,0,34,5.855442,3.761119,34073
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 100, ",585234,0,399737,0,47,6.2121434,3.3137789,21015
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 200, ",585234,0,358281,0,55,9.370958,5.9630437,12987
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 400, ",585234,0,340356,0,48,12.717163,10.480111,5396
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 800, ",585234,0,339373,0,37,18.558966,16.67236,2450
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 50, ",1306507,0,945257,0,36,11.6392765,7.9469566,75411
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 100, ",1306507,0,907954,0,43,10.636832,6.350983,43958
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 200, ",1306507,0,811735,0,56,17.6832,12.027637,29143
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 400, ",1306507,0,759861,0,50,24.636639,20.746784,12505
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 800, ",1306507,0,757222,0,46,37.60868,34.64589,5496
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", omega: 50, ",32147,0,6658,0,74,1.0257041,0.5135852,1595
